26.11.2018                        Dynamic List Display                               1
--------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------
|BUKRS|LIFNR |GJAHR|BELNR     |BUZEI|BLDAT     |XBLNR           |BLART|         DMBTR|
|C04  |300533| 2018|5100481601|    1|29.08.2018|9130076583      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481602|    1|29.08.2018|9130076581      |RE   |    22,284.10 |
|C04  |300533| 2018|5100481606|    1|29.08.2018|9130076537      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481607|    1|29.08.2018|9130076536      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481609|    1|29.08.2018|9130076535      |RE   |    18,368.76 |
|C04  |300533| 2018|5100481633|    1|29.08.2018|9130076534      |RE   |    22,991.10 |
|C04  |300533| 2018|5100481612|    1|29.08.2018|9130076533      |RE   |    22,284.10 |
|C04  |300533| 2018|5100481613|    1|29.08.2018|9130076532      |RE   |    22,284.10 |
|C04  |300533| 2018|5100481615|    1|29.08.2018|9130076531      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481616|    1|29.08.2018|9130076530      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481617|    1|29.08.2018|9130076529      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481618|    1|29.08.2018|9130076528      |RE   |    22,486.10 |
|C04  |300533| 2018|5100481620|    1|29.08.2018|9130076526      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481621|    1|29.08.2018|9130076525      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481622|    1|29.08.2018|9130076524      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481623|    1|29.08.2018|9130076523      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481624|    1|29.08.2018|9130076522      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481625|    1|29.08.2018|9130076520      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481626|    1|29.08.2018|9130076518      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481627|    1|29.08.2018|9130076517      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481628|    1|29.08.2018|9130076516      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481629|    1|29.08.2018|9130076515      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481630|    1|29.08.2018|9130076514      |RE   |    21,865.10 |
|C04  |300533| 2018|5100481631|    1|29.08.2018|9130076513      |RE   |    18,884.40 |
|C04  |300533| 2018|5100481632|    1|29.08.2018|9130076512      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481633|    1|29.08.2018|9130076510      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481634|    1|29.08.2018|9130076509      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481635|    1|29.08.2018|9130076508      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481636|    1|29.08.2018|9130076506      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481637|    1|29.08.2018|9130076507      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481638|    1|29.08.2018|9130076505      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481639|    1|29.08.2018|9130076503      |RE   |    21,865.10 |
|C04  |300533| 2018|5100481640|    1|29.08.2018|9130076504      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481641|    1|29.08.2018|9130076501      |RE   |    22,284.10 |
|C04  |300533| 2018|5100481662|    1|29.08.2018|9130076579      |RE   |    22,284.10 |
|C04  |300533| 2018|5100481665|    1|29.08.2018|9130076578      |RE   |    21,580.06 |
|C04  |300533| 2018|5100481668|    1|29.08.2018|9130076576      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481671|    1|29.08.2018|9130076575      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481672|    1|29.08.2018|9130076574      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481673|    1|29.08.2018|9130076573      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481674|    1|29.08.2018|9130076572      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481676|    1|29.08.2018|9130076571      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481706|    1|29.08.2018|9130076558      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481707|    1|29.08.2018|9130076559      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481708|    1|29.08.2018|9130076560      |RE   |    14,171.10 |
|C04  |300533| 2018|5100481709|    1|29.08.2018|9130076561      |RE   |    23,294.10 |
|C04  |300533| 2018|5100481710|    1|29.08.2018|9130076562      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481733|    1|29.08.2018|9130076563      |RE   |     1,123.90 |
|C04  |300533| 2018|5100481712|    1|29.08.2018|9130076564      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481713|    1|29.08.2018|9130076565      |RE   |    16,040.80 |
|C04  |300533| 2018|5100481714|    1|29.08.2018|9130076566      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481715|    1|29.08.2018|9130076567      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481716|    1|29.08.2018|9130076568      |RE   |    14,880.50 |
|C04  |300533| 2018|5100481717|    1|29.08.2018|9130076569      |RE   |     1,123.90 |
|C04  |300533| 2018|5100481643|    1|30.08.2018|9130076676      |RE   |    26,030.80 |
|C04  |300533| 2018|5100481644|    1|30.08.2018|9130076675      |RE   |    21,274.20 |
|C04  |300533| 2018|5100481645|    1|30.08.2018|9130076674      |RE   |    20,235.00 |
|C04  |300533| 2018|5100481646|    1|30.08.2018|9130076672      |RE   |    19,441.26 |
|C04  |300533| 2018|5100481647|    1|30.08.2018|9130076671      |RE   |    30,613.50 |
|C04  |300533| 2018|5100481648|    1|30.08.2018|9130076668      |RE   |    22,655.10 |
|C04  |300533| 2018|5100481649|    1|30.08.2018|9130076667      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481650|    1|30.08.2018|9130076666      |RE   |    18,336.66 |
