_key_in,_key_out,_score,BUKRS,LIFNR,GJAHR,BELNR,BUZEI,XBLNR,BLART,DMBTR,BLDAT,BLDAT_clean,DMBTR_clean,XBLNR_clean,LIFNR_clean,_Similarity_XBLNR
5243,5243,1,C04  ,220234,2018,5100486659,1,MAL1869327      ,RE   ,1792.4,2018-09-30 00:00:00,2018-09-30 00:00:00,1792.4,MAL1869327      ,220234,1
5244,5244,1,C04  ,220234,2018,5100486684,1,MAL1869324      ,RE   ,5179.4302,2018-09-30 00:00:00,2018-09-30 00:00:00,5179.4302,MAL1869324      ,220234,1
5245,5245,1,C04  ,220234,2018,5100486685,1,MAL1869326      ,RE   ,2900.49,2018-09-30 00:00:00,2018-09-30 00:00:00,2900.49,MAL1869326      ,220234,1
5246,5245,0.90000004,C04  ,220234,2018,5100486686,1,MAL1869325      ,RE   ,2900.49,2018-09-30 00:00:00,2018-09-30 00:00:00,2900.49,MAL1869326      ,220234,0.90000004
5247,5247,1,C04  ,220234,2018,5100486689,1,MAL1868743      ,RE   ,8270.2305,2018-09-30 00:00:00,2018-09-30 00:00:00,8270.2305,MAL1868743      ,220234,1
5444,5247,0.90000004,C04  ,220234,2018,5100488518,1,MAL1868742      ,RE   ,8270.2305,2018-09-30 00:00:00,2018-09-30 00:00:00,8270.2305,MAL1868743      ,220234,0.90000004
5249,5249,1,C04  ,220234,2018,5100486734,1,MAL1868710      ,RE   ,8270.2305,2018-09-30 00:00:00,2018-09-30 00:00:00,8270.2305,MAL1868710      ,220234,1
5250,5250,1,C04  ,220234,2018,5100486760,1,MAL1868734      ,RE   ,3244.3999,2018-09-30 00:00:00,2018-09-30 00:00:00,3244.3999,MAL1868734      ,220234,1
5251,5251,1,C04  ,220234,2018,5100486764,1,MAL1868723      ,RE   ,390.03,2018-09-30 00:00:00,2018-09-30 00:00:00,390.03,MAL1868723      ,220234,1
5252,5252,1,C04  ,220234,2018,5100486769,1,MAL1868709      ,RE   ,8270.2305,2018-09-30 00:00:00,2018-09-30 00:00:00,8270.2305,MAL1868709      ,220234,1
5253,5253,1,C04  ,220234,2018,5100486781,1,MAL1867634      ,RE   ,5547.8999,2018-09-29 00:00:00,2018-09-29 00:00:00,5547.8999,MAL1867634      ,220234,1
5254,5254,1,C04  ,220234,2018,5100486782,1,MAL1867539      ,RE   ,8379.9805,2018-09-29 00:00:00,2018-09-29 00:00:00,8379.9805,MAL1867539      ,220234,1
5255,5255,1,C04  ,220234,2018,5100486783,1,MAL1867559      ,RE   ,5827.7798,2018-09-29 00:00:00,2018-09-29 00:00:00,5827.7798,MAL1867559      ,220234,1
5256,5256,1,C04  ,220234,2018,5100487473,1,MAL1859328      ,RE   ,5434.9502,2018-08-29 00:00:00,2018-08-29 00:00:00,5434.9502,MAL1859328      ,220234,1
5257,5257,1,C04  ,220234,2018,5100487475,1,MAL1859331      ,RE   ,6087.1499,2018-08-29 00:00:00,2018-08-29 00:00:00,6087.1499,MAL1859331      ,220234,1
5258,5258,1,C04  ,220234,2018,5100487480,1,MAL1859178      ,RE   ,12215.1,2018-08-29 00:00:00,2018-08-29 00:00:00,12215.1,MAL1859178      ,220234,1
5259,5259,1,C04  ,220234,2018,5100487481,1,MAL1866918      ,RE   ,6140.1499,2018-09-29 00:00:00,2018-09-29 00:00:00,6140.1499,MAL1866918      ,220234,1
